,neighbourhood,property_type,room_type,max_capacity(pax),bathrooms,bedrooms,price,cancellation_policy,Distance_from_center(m),Perc_Utilities,Perc_extra
189,Noord-Oost,House,Private room,1,1.0,1.0,38,0,4927.6882661719865,0.1666666666666666,0.1428571428571428
190,Noord-Oost,Apartment,Private room,3,1.0,1.0,46,0,5030.011378869241,0.6666666666666666,0.2857142857142857
191,Noord-Oost,Apartment,Private room,1,1.0,1.0,59,1,4332.047291572506,0.6666666666666666,0.2857142857142857
192,Noord-Oost,House,Entire home/apt,6,2.0,3.0,195,1,5740.959745067442,0.6666666666666666,0.1428571428571428
193,Noord-Oost,Apartment,Private room,2,1.0,1.0,58,0,4480.314567454286,0.8333333333333334,0.1428571428571428
194,Noord-Oost,House,Entire home/apt,3,1.0,2.0,511,0,5266.843946426143,0.0,0.0
195,Noord-Oost,Apartment,Private room,2,1.0,1.0,59,0,4842.393025861379,0.0,0.0
196,Noord-Oost,House,Entire home/apt,4,1.0,2.0,100,1,4509.798005869251,0.8333333333333334,0.0
197,Noord-West,Apartment,Private room,2,1.0,1.0,75,1,3999.522168239839,0.1666666666666666,0.1428571428571428
198,Noord-West,House,Entire home/apt,4,1.0,2.0,89,1,5031.697845339464,0.6666666666666666,0.0
199,Noord-West,House,Entire home/apt,4,1.0,3.0,99,1,4380.908827628957,0.6666666666666666,0.1428571428571428
200,Noord-West,Apartment,Entire home/apt,4,1.0,2.0,69,2,3963.122425465973,0.3333333333333333,0.1428571428571428
201,Noord-West,House,Entire home/apt,6,2.0,4.0,300,1,4618.194570167329,0.6666666666666666,0.1428571428571428
202,Noord-West,House,Entire home/apt,3,1.0,3.0,150,0,4538.7314129869565,0.6666666666666666,0.1428571428571428
203,Noord-West,House,Entire home/apt,8,1.0,4.0,120,1,4316.929852653056,0.6666666666666666,0.1428571428571428
204,Noord-West,House,Entire home/apt,2,1.0,2.0,100,2,4774.766285774449,0.8333333333333334,0.1428571428571428
205,Noord-West,House,Entire home/apt,5,1.0,3.0,100,1,3949.7431981312666,0.6666666666666666,0.1428571428571428
206,Noord-West,Apartment,Private room,1,1.0,1.0,35,0,5740.959745067442,0.0,0.0
207,Noord-West,Apartment,Entire home/apt,2,1.0,1.0,85,2,3907.989788977293,0.6666666666666666,0.2857142857142857
208,Noord-West,House,Entire home/apt,4,1.0,3.0,100,2,4164.309331966208,0.8333333333333334,0.1428571428571428
209,Noord-West,House,Entire home/apt,4,1.0,3.0,150,2,3583.2001349460465,0.6666666666666666,0.1428571428571428
210,Noord-West,House,Entire home/apt,4,1.0,4.0,100,0,3906.4092473049104,0.6666666666666666,0.1428571428571428
211,Noord-West,Bed & Breakfast,Private room,3,1.0,1.0,75,1,4199.039521470002,0.6666666666666666,0.2857142857142857
